Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
131	1	-16991.9	-16892.4	-99.4961	-3.921689	4.024908	0.1032199	38.99355
132	0	-17011.1	-16912.6	-98.4509	4.05095	0.007928204	4.058878	0.001953299
133	1	-16997.5	-16896.5	-101.019	-4.720743	4.81595	0.09520723	50.58387
134	0	-17010.1	-16911.2	-98.9138	3.209717	0.003857357	3.213574	0.001200333
135	1	-16999.9	-16899.5	-100.359	-2.931275	3.035203	0.1039276	29.20497
136	0	-17015.5	-16917.1	-98.4208	4.089482	0.002869536	4.092352	0.0007011948
137	1	-16995.8	-16897.2	-98.6061	-3.947556	3.984381	0.03682473	108.1985
138	0	-17009	-16909.6	-99.3904	3.671239	0.1069228	3.778162	0.02830021
139	1	-17005.6	-16904.3	-101.3	-4.185483	4.434091	0.2486075	17.83571
140	0	-17012.8	-16912.3	-100.558	4.94327	0.03618565	4.979455	0.00726699
141	1	-17001.8	-16902.9	-98.8897	-4.250382	4.287095	0.03671338	116.772
142	0	-17009.6	-16909.8	-99.7993	2.998857	0.04358466	3.042442	0.01432555
143	1	-16995	-16896.7	-98.251	-3.669657	3.6961	0.02644271	139.7776
144	0	-17018.1	-16917.5	-100.601	4.904203	0.0232687	4.927471	0.00472224
145	1	-16993.5	-16893.5	-100.025	-3.888602	4.042801	0.1541992	26.21804
146	0	-17022.7	-16921	-101.772	5.284894	0.03136662	5.316261	0.005900128
147	1	-16993.3	-16892.7	-100.604	-2.795727	2.878161	0.08243382	34.91481
148	0	-17017.4	-16917.8	-99.5912	3.752265	0.1011825	3.853448	0.02625767
149	1	-16989.3	-16889.8	-99.4602	-3.459926	3.585623	0.1256971	28.5259
150	0	-17021.3	-16921.2	-100.119	3.309939	0.1301539	3.440093	0.0378344
151	1	-16987.3	-16889.2	-98.0902	-3.548818	3.56104	0.01222265	291.3477
152	0	-17024.6	-16923.9	-100.689	3.807307	0.1908869	3.998194	0.04774329
153	1	-16987.1	-16887.8	-99.3559	-3.740411	3.86542	0.1250092	30.92109
154	0	-17006.2	-16907	-99.2324	4.31705	0.04309645	4.360147	0.009884173
155	1	-16996.5	-16897.2	-99.3302	-3.490162	3.582612	0.09244988	38.75194
156	0	-17012.8	-16914.3	-98.5284	3.705552	0.03323449	3.738787	0.00888911
157	1	-16998.4	-16897.4	-101.091	-3.347916	3.599904	0.2519876	14.28603
158	0	-17003.9	-16905.6	-98.3413	3.891529	0.002228745	3.893758	0.0005723893
159	1	-16999.9	-16901.6	-98.2115	-4.139761	4.162965	0.02320427	179.4051
160	0	-17008.1	-16908	-100.13	4.326898	0.1077226	4.434621	0.02429128
161	1	-16985.9	-16887.1	-98.8204	-4.162307	4.221582	0.05927535	71.21986
162	0	-17011.2	-16911.1	-100.049	4.685262	0.04763209	4.732894	0.01006405
163	1	-17000.3	-16899.7	-100.552	-3.994443	4.194459	0.2000157	20.97065
164	0	-17011.8	-16913.5	-98.2258	3.787641	0.005051654	3.792692	0.001331944
