Iteration	Posterior	Likelihood	Prior	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
57	-16628.6	-16367	-261.603	0.008179242	0.200058	0.0720591	0.0720591	0.0720591	0.0720591	0.07205909	0.0837547	0.116339	0.14965	0.207871	0.1319476	0.3951082
58	-16625.6	-16362.8	-262.795	0.008179242	0.1977332	0.055617	0.055617	0.055617	0.055617	0.05561695	0.0699039	0.110657	0.157335	0.249059	0.1319476	0.5522526
59	-16619	-16356.9	-262.1	0.008179242	0.158125	0.0871319	0.0871319	0.0871319	0.0871319	0.08713194	0.0851243	0.116863	0.14898	0.204527	0.1319476	0.3810082
60	-16617.6	-16355.4	-262.211	0.008179242	0.1452773	0.0705243	0.0705243	0.0705243	0.0705243	0.07052432	0.0801339	0.114923	0.151494	0.217264	0.1319476	0.4335263
61	-16619.6	-16357.6	-262.019	0.008179242	0.1059986	0.0471064	0.0471064	0.0471064	0.0471064	0.04710643	0.0851908	0.116888	0.148947	0.204367	0.1319476	0.3803292
62	-16620.7	-16359.1	-261.584	0.008179242	0.07690715	0.0471064	0.0471064	0.0471064	0.0471064	0.04710643	0.0857057	0.115049	0.144165	0.193522	0.1287865	0.3540113
63	-16622.5	-16360	-262.553	0.008179242	0.1139634	0.0471064	0.0471064	0.0471064	0.0471064	0.04710643	0.122946	0.150885	0.176519	0.216633	0.1631996	0.2462111
64	-16618.5	-16356.7	-261.722	0.008179242	0.1019516	0.0458852	0.0458852	0.0458852	0.0458852	0.04588517	0.140838	0.153677	0.164301	0.179278	0.1589001	0.1048935
65	-16608.9	-16347.9	-260.928	0.008179242	0.126991	0.0480689	0.0480689	0.0480689	0.0480689	0.0480689	0.122072	0.131387	0.139003	0.149611	0.1351418	0.088421
66	-16608.2	-16347	-261.237	0.008179242	0.1570649	0.0577904	0.0577904	0.0577904	0.0577904	0.05779043	0.114886	0.126874	0.1369	0.151185	0.1317917	0.1193411
67	-16612.8	-16351.5	-261.332	0.008179242	0.2080351	0.0577904	0.0577904	0.0577904	0.0577904	0.05779043	0.113662	0.126498	0.137307	0.152813	0.1317917	0.1286506
68	-16608.5	-16347	-261.536	0.008179242	0.1364044	0.064301	0.064301	0.064301	0.064301	0.06430104	0.114553	0.126772	0.13701	0.151624	0.1317917	0.1218624
69	-16609.9	-16348.5	-261.321	0.008179242	0.1437169	0.0585112	0.0585112	0.0585112	0.0585112	0.05851118	0.123219	0.129959	0.135371	0.142775	0.1326372	0.06402667
70	-16612.6	-16351.4	-261.186	0.008179242	0.1859979	0.0910836	0.0910836	0.0910836	0.0910836	0.09108358	0.135671	0.15009	0.162166	0.1794	0.156011	0.1214333
71	-16609.9	-16348.5	-261.441	0.007608289	0.200938	0.0562613	0.0562613	0.0562613	0.0562613	0.05626133	0.135058	0.149902	0.16237	0.180214	0.156011	0.1253714
72	-16612.7	-16351.6	-261.088	0.007608289	0.1822949	0.0401801	0.0401801	0.0401801	0.0401801	0.04018014	0.119582	0.13478	0.147719	0.166493	0.1411012	0.1438474
73	-16611.5	-16350.1	-261.311	0.007608289	0.1838979	0.035444	0.035444	0.035444	0.035444	0.03544403	0.126303	0.136837	0.145499	0.157633	0.1411012	0.09631154
74	-16612.1	-16350.9	-261.213	0.007608289	0.1720757	0.0443264	0.0443264	0.0443264	0.0443264	0.04432638	0.112646	0.125934	0.137167	0.153347	0.1314302	0.1340708
75	-16612.6	-16351.4	-261.178	0.007608289	0.1660824	0.0553042	0.0553042	0.0553042	0.0553042	0.05530415	0.121306	0.135036	0.146599	0.163192	0.1406986	0.1289213
76	-16615.9	-16352.6	-263.279	0.007608289	0.1660824	0.0540576	0.0540576	0.0540576	0.0540576	0.05405757	0.110077	0.144728	0.178494	0.234682	0.1607265	0.3290538
77	-16609	-16346.6	-262.364	0.007608289	0.1827392	0.0540576	0.0540576	0.0540576	0.0540576	0.05405757	0.0922833	0.121333	0.149641	0.196747	0.1347457	0.3290538
78	-16609	-16346.6	-262.395	0.007778861	0.1826734	0.0540576	0.0540576	0.0540576	0.0540576	0.05405757	0.0922833	0.121333	0.149641	0.196747	0.1347457	0.3290538
79	-16609.2	-16347	-262.234	0.00780238	0.2134381	0.0540576	0.0540576	0.0540576	0.0540576	0.05405757	0.105397	0.125882	0.144234	0.172266	0.1347457	0.2135461
80	-16609.2	-16346.6	-262.557	0.00780238	0.133599	0.0423662	0.0423662	0.0423662	0.0423662	0.04236619	0.0785779	0.107422	0.136502	0.186608	0.1210918	0.3759369
81	-16608.3	-16346	-262.297	0.00780238	0.1282802	0.0343981	0.0343981	0.0343981	0.0343981	0.03439814	0.0790959	0.107309	0.135565	0.183921	0.1206127	0.3667786
82	-16610	-16348	-261.981	0.00780238	0.1057759	0.0467996	0.0467996	0.0467996	0.0467996	0.04679961	0.105118	0.118611	0.130111	0.146812	0.124228	0.145206
83	-16608.8	-16345.5	-263.337	0.00780238	0.08064764	0.0654314	0.0654314	0.0654314	0.0654314	0.06543137	0.11345	0.145888	0.176891	0.227469	0.1606434	0.3023664
84	-16614.8	-16352.5	-262.347	0.00780238	0.09278924	0.0654314	0.0654314	0.0654314	0.0654314	0.06543137	0.0868805	0.112666	0.137492	0.178298	0.1244612	0.3124792
85	-16615.3	-16352.7	-262.616	0.00780238	0.2040383	0.0717251	0.0717251	0.0717251	0.0717251	0.07172513	0.0868805	0.112666	0.137492	0.178298	0.1244612	0.3124792
86	-16615	-16352.3	-262.726	0.00780238	0.159512	0.0548866	0.0548866	0.0548866	0.0548866	0.05488661	0.0953747	0.123681	0.150934	0.195729	0.1366295	0.3124792
87	-16620.3	-16357.7	-262.602	0.00780238	0.2071103	0.0548866	0.0548866	0.0548866	0.0548866	0.05488661	0.114141	0.138099	0.159807	0.193352	0.1485573	0.2290947
88	-16618.6	-16355.7	-262.856	0.007531905	0.1576412	0.0491755	0.0491755	0.0491755	0.0491755	0.04917548	0.11019	0.136758	0.161374	0.200284	0.1485573	0.2597162
89	-16618.8	-16356.8	-262.056	0.007506458	0.1288732	0.0704718	0.0704718	0.0704718	0.0704718	0.07047181	0.104331	0.128985	0.151751	0.187611	0.1399056	0.2550543
90	-16614.6	-16351.7	-262.891	0.007506458	0.1438938	0.0938228	0.0938228	0.0938228	0.0938228	0.09382279	0.102533	0.125783	0.147107	0.180465	0.136028	0.2457326
91	-16613.9	-16351	-262.95	0.007506458	0.1418725	0.092814	0.092814	0.092814	0.092814	0.092814	0.107684	0.127503	0.145123	0.171833	0.136028	0.2031234
92	-16613.7	-16350.8	-262.906	0.007506458	0.1259135	0.0981586	0.0981586	0.0981586	0.0981586	0.09815858	0.0952438	0.12324	0.150143	0.194276	0.136028	0.3098366
93	-16618	-16354.7	-263.39	0.007506458	0.1287576	0.0981586	0.0981586	0.0981586	0.0981586	0.09815858	0.101999	0.13198	0.160791	0.208054	0.1456751	0.3098366
94	-16615.7	-16352.4	-263.244	0.007506458	0.2101234	0.0922441	0.0922441	0.0922441	0.0922441	0.09224409	0.0964529	0.128795	0.160741	0.214641	0.1438845	0.3476826
95	-16612.4	-16349.5	-262.909	0.007506458	0.1470074	0.0689683	0.0689683	0.0689683	0.0689683	0.06896835	0.105676	0.132128	0.156795	0.196042	0.1439341	0.2685914
