Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
57	1	-257.38	-270.294	12.9137	0.1769871	1.76712e-06	1.76712e-06	1.76712e-06	1.76712e-06	1.767117e-06	0.0753296	0.0973592	0.118507	0.153163	0.1074137	0.3084407
58	0	-255.621	-268.724	13.1029	0.2017946	1.83456e-06	1.83456e-06	1.83456e-06	1.83456e-06	1.834559e-06	0.0718067	0.0880914	0.103027	0.126392	0.0952669	0.2457557
59	1	-257.582	-269.909	12.3264	0.1943726	3.60727e-06	3.60727e-06	3.60727e-06	3.60727e-06	3.60727e-06	0.0726839	0.0914913	0.109133	0.137372	0.09992372	0.2766879
60	0	-264.392	-273.708	9.31543	0.08169185	7.72862e-05	7.72862e-05	7.72862e-05	7.72862e-05	7.728624e-05	0.0878452	0.103011	0.116381	0.136474	0.1094926	0.1914896
61	1	-262.984	-273.92	10.9352	0.01138713	1.10972e-05	1.10972e-05	1.10972e-05	1.10972e-05	1.109719e-05	0.0522412	0.0782782	0.106712	0.159897	0.09139573	0.4862246
62	0	-263.246	-274.826	11.5801	0.1430896	5.32083e-06	5.32083e-06	5.32083e-06	5.32083e-06	5.320834e-06	0.0208988	0.0419921	0.0716753	0.144018	0.05486159	0.8389825
63	1	-256.031	-269.562	13.5311	0.1725362	1.26278e-06	1.26278e-06	1.26278e-06	1.26278e-06	1.26278e-06	0.05662	0.0732655	0.0892613	0.115503	0.08086886	0.3098769
64	0	-257.088	-269.297	12.2097	0.2010405	5.30321e-06	5.30321e-06	5.30321e-06	5.30321e-06	5.303209e-06	0.0933228	0.100988	0.107284	0.116096	0.1040883	0.09490647
65	1	-260.482	-271.95	11.4684	0.1823711	1.05453e-05	1.05453e-05	1.05453e-05	1.05453e-05	1.054535e-05	0.0843049	0.0954616	0.104999	0.118895	0.100117	0.1494316
66	0	-255.929	-269.678	13.7485	0.1890845	1.40179e-06	1.40179e-06	1.40179e-06	1.40179e-06	1.401787e-06	0.0774325	0.083266	0.0880315	0.0946635	0.08561563	0.08733081
67	1	-256.847	-269.713	12.8653	0.1803997	2.0019e-06	2.0019e-06	2.0019e-06	2.0019e-06	2.001899e-06	0.0596343	0.0806903	0.101729	0.137648	0.0906011	0.3635721
68	0	-263.14	-273.99	10.8501	0.1735768	2.74423e-05	2.74423e-05	2.74423e-05	2.74423e-05	2.744228e-05	0.0775277	0.0815146	0.0847076	0.0890637	0.08309576	0.06029291
69	1	-255.405	-268.781	13.376	0.1916808	1.66535e-06	1.66535e-06	1.66535e-06	1.66535e-06	1.665353e-06	0.0940267	0.101288	0.107229	0.11551	0.1042161	0.08944026
70	0	-269.681	-276.308	6.62731	0.1627364	0.00150062	0.00150062	0.00150062	0.00150062	0.001500622	0.0450297	0.0591671	0.0729357	0.0958343	0.06569163	0.3282907
71	1	-257.111	-270.602	13.4906	0.1952151	1.30152e-06	1.30152e-06	1.30152e-06	1.30152e-06	1.301517e-06	0.0474311	0.0648222	0.0823513	0.112546	0.07306293	0.3755757
72	0	-270.294	-274.644	4.34987	0.03092728	0.0154874	0.0154874	0.0154874	0.0154874	0.01548735	0.0648615	0.075367	0.0845541	0.0982491	0.0798285	0.1804893
73	1	-254.722	-268.335	13.6134	0.1991457	1.13697e-06	1.13697e-06	1.13697e-06	1.13697e-06	1.136967e-06	0.125338	0.1295	0.132783	0.137193	0.1311315	0.03928003
74	0	-263.149	-273.761	10.6119	0.01182629	1.38678e-05	1.38678e-05	1.38678e-05	1.38678e-05	1.386779e-05	0.0142983	0.0321869	0.0599368	0.134924	0.04392241	0.9756036
75	1	-254.52	-268.181	13.6605	0.203827	1.20308e-06	1.20308e-06	1.20308e-06	1.20308e-06	1.203079e-06	0.123745	0.124512	0.125102	0.125877	0.1248064	0.007422646
76	0	-264.005	-273.707	9.70239	0.01947201	5.05188e-05	5.05188e-05	5.05188e-05	5.05188e-05	5.051882e-05	0.0712773	0.0898296	0.107251	0.135166	0.09815448	0.2781457
77	1	-256.917	-270.298	13.381	0.1547489	1.53054e-06	1.53054e-06	1.53054e-06	1.53054e-06	1.530542e-06	0.0888691	0.0996002	0.108692	0.121816	0.1040466	0.1370667
78	0	-263.783	-275.083	11.2992	0.05903283	8.524e-06	8.524e-06	8.524e-06	8.524e-06	8.523998e-06	0.107194	0.126502	0.143618	0.169487	0.1347888	0.199129
79	1	-254.879	-268.794	13.9146	0.1971647	1.20424e-06	1.20424e-06	1.20424e-06	1.20424e-06	1.20424e-06	0.0762996	0.0820617	0.0867696	0.0933224	0.08438279	0.08753551
