Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
8900	-270.03	-274.488	4.45778	0.1118929	0.00600032	0.00600032	0.00600032	0.00600032	0.006000323	0.0222538	0.0451276	0.0775717	0.157305	0.05916605	0.8500348
9000	-270.923	-276.5	5.57704	0.01178691	0.00395323	0.00395323	0.00395323	0.00395323	0.003953227	0.0166594	0.0299555	0.0469595	0.0844383	0.0375059	0.705458
9100	-270.854	-273.73	2.87635	0.1437866	0.037891	0.037891	0.037891	0.037891	0.03789102	0.0908537	0.113281	0.134145	0.167259	0.1232723	0.2652631
9200	-270.412	-273.799	3.38695	0.1537859	0.021067	0.021067	0.021067	0.021067	0.021067	0.0509018	0.0768384	0.105345	0.159022	0.0899696	0.4951301
9300	-257.128	-270.137	13.0091	0.1811802	2.16025e-06	2.16025e-06	2.16025e-06	2.16025e-06	2.160246e-06	0.124268	0.127314	0.129698	0.132876	0.1285003	0.02910997
9400	-262.757	-273.973	11.2167	0.1034508	1.18154e-05	1.18154e-05	1.18154e-05	1.18154e-05	1.181543e-05	0.11347	0.122662	0.130206	0.140754	0.126378	0.09365733
9500	-256.08	-269.018	12.9376	0.1938401	2.11633e-06	2.11633e-06	2.11633e-06	2.11633e-06	2.116332e-06	0.112049	0.121528	0.129331	0.140272	0.1253687	0.09764537
9600	-255.286	-268.847	13.5605	0.2013193	1.09907e-06	1.09907e-06	1.09907e-06	1.09907e-06	1.099072e-06	0.142469	0.145436	0.147752	0.150829	0.1465895	0.02478534
9700	-260.971	-273.731	12.7592	0.1350146	2.17029e-06	2.17029e-06	2.17029e-06	2.17029e-06	2.170287e-06	0.12954	0.140835	0.150152	0.163244	0.145419	0.1005155
9800	-258.908	-272.763	13.8555	0.1428302	1.29911e-06	1.29911e-06	1.29911e-06	1.29911e-06	1.299107e-06	0.0760915	0.0815031	0.0859087	0.0920185	0.08367691	0.0826065
9900	-259.826	-272.809	12.9832	0.1607008	1.61779e-06	1.61779e-06	1.61779e-06	1.61779e-06	1.617791e-06	0.100107	0.119743	0.137358	0.164301	0.1282486	0.2153512
10000	-256.76	-270.42	13.6595	0.2003105	1.55517e-06	1.55517e-06	1.55517e-06	1.55517e-06	1.55517e-06	0.0584852	0.0679581	0.0762422	0.0885913	0.0719811	0.1804928
10100	-255.802	-268.629	12.8279	0.2005648	2.52928e-06	2.52928e-06	2.52928e-06	2.52928e-06	2.52928e-06	0.095721	0.106548	0.115665	0.128748	0.111013	0.1288385
10200	-262.07	-274.688	12.6184	0.03174856	1.50327e-06	1.50327e-06	1.50327e-06	1.50327e-06	1.503269e-06	0.0615511	0.0964013	0.13595	0.212925	0.1144804	0.5394325
10300	-255.81	-269.203	13.3932	0.2030245	1.24814e-06	1.24814e-06	1.24814e-06	1.24814e-06	1.248139e-06	0.130575	0.138334	0.14459	0.153182	0.1414276	0.06940435
