/ufrc/burleigh/nhans/GitHubNH/revBB
c31a-s19.ufhpc
Fri May 31 16:01:22 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
12100       |       -14730.9   |       -14979.2   |         248.37   |      0.1929011   |     0.09330532   |   00:26:25   |   00:17:14   |
12200       |       -14746.2   |       -14982.9   |        236.774   |      0.1547217   |     0.08764886   |   00:26:36   |   00:17:00   |
12300       |       -14735.2   |       -14972.3   |        237.157   |      0.2012032   |     0.09212541   |   00:26:48   |   00:16:46   |
12400       |         -14732   |       -14972.5   |        240.477   |       0.190616   |      0.1093602   |   00:26:59   |   00:16:32   |
12500       |       -14749.7   |       -14976.7   |        226.997   |      0.1947899   |     0.08332682   |   00:27:11   |   00:16:18   |
12600       |       -14754.2   |       -14992.1   |        237.915   |       0.204146   |      0.0553249   |   00:27:22   |   00:16:04   |
12700       |       -14764.6   |       -14987.7   |        223.057   |      0.1512305   |     0.04675851   |   00:27:33   |   00:15:50   |
12800       |       -14759.8   |       -14978.4   |        218.556   |      0.1732207   |     0.09418077   |   00:27:45   |   00:15:36   |
12900       |       -14744.3   |       -14980.3   |        236.002   |      0.1837473   |      0.1102523   |   00:27:56   |   00:15:22   |
13000       |       -14743.9   |       -14975.2   |        231.253   |       0.189361   |      0.1215025   |   00:28:07   |   00:15:08   |
13100       |       -14736.2   |       -14978.4   |         242.14   |      0.2017111   |      0.1258182   |   00:28:19   |   00:14:54   |
13200       |       -14768.7   |       -14985.1   |        216.425   |     0.08097182   |      0.1028794   |   00:28:30   |   00:14:40   |
13300       |       -14749.1   |       -14982.5   |        233.396   |      0.1993775   |      0.1182955   |   00:28:42   |   00:14:27   |
13400       |       -14749.9   |       -14977.7   |        227.793   |      0.1891546   |      0.1003542   |   00:28:53   |   00:14:13   |
13500       |       -14750.2   |       -14979.6   |        229.416   |      0.1876492   |       0.136712   |   00:29:05   |   00:14:00   |
13600       |         -14727   |       -14964.5   |        237.471   |      0.1864009   |      0.1346947   |   00:29:17   |   00:13:46   |
13700       |       -14751.5   |       -14989.8   |        238.285   |      0.1855043   |      0.1003722   |   00:29:37   |   00:13:37   |
13800       |         -14739   |       -14986.5   |        247.536   |     0.08626962   |     0.08759578   |   00:29:49   |   00:13:23   |
13900       |       -14750.9   |       -14984.5   |        233.652   |     0.07613397   |     0.07505157   |   00:30:00   |   00:13:09   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
14000       |       -14749.6   |       -14970.4   |         220.84   |      0.1846378   |      0.1016484   |   00:30:12   |   00:12:56   |
14100       |       -14745.2   |       -14973.3   |        228.145   |      0.1917091   |      0.1411435   |   00:30:23   |   00:12:42   |
14200       |       -14757.9   |       -14976.6   |        218.685   |        0.19012   |     0.07305911   |   00:31:02   |   00:12:40   |
14300       |       -14726.2   |       -14974.6   |        248.424   |      0.1954355   |     0.08514388   |   00:31:14   |   00:12:26   |
14400       |       -14747.7   |       -14987.8   |         240.14   |      0.1990268   |     0.09650987   |   00:31:25   |   00:12:13   |
14500       |       -14749.1   |       -14971.3   |        222.225   |     0.06178316   |     0.07777484   |   00:31:35   |   00:11:58   |
14600       |       -14753.3   |       -14979.5   |        226.191   |     0.05395857   |      0.0783106   |   00:31:47   |   00:11:45   |
14700       |       -14755.5   |       -14981.9   |        226.463   |      0.1376689   |      0.0743026   |   00:31:58   |   00:11:31   |
