/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 15:49:23 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
560         |       -261.558   |       -272.911   |        11.3527   |     0.04280955   |   1.102833e-05   |     0.09591527   |   00:00:23   |   00:13:18   |
570         |       -263.545   |       -275.302   |        11.7563   |      0.1021876   |   5.902137e-06   |      0.0498961   |   00:00:24   |   00:13:38   |
580         |       -263.765   |       -275.299   |        11.5342   |      0.1342139   |   7.617357e-06   |      0.1497673   |   00:00:24   |   00:13:23   |
590         |       -261.897   |       -273.138   |        11.2405   |      0.1781215   |   1.699625e-05   |     0.09081216   |   00:00:24   |   00:13:09   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
600         |       -263.639   |       -273.259   |        9.61956   |      0.0655276   |   6.290522e-05   |     0.08947499   |   00:00:25   |   00:13:28   |
600         |       -263.639   |       -273.259   |        9.61956   |      0.0655276   |   6.290522e-05   |     0.08947499   |   00:00:25   |   00:13:28   |
610         |       -266.327   |       -273.939   |        7.61226   |     0.07490292   |   0.0004252882   |     0.07861179   |   00:00:25   |   00:13:14   |
620         |       -266.597   |       -273.214   |        6.61622   |      0.1983495   |    0.001000584   |     0.09462313   |   00:00:26   |   00:13:32   |
630         |       -264.502   |       -273.019   |        8.51767   |      0.1142207   |   0.0001854005   |      0.1022324   |   00:00:26   |   00:13:19   |
640         |       -267.644   |       -275.545   |        7.90054   |     0.05568821   |   0.0001457276   |      0.1114656   |   00:00:26   |   00:13:06   |
650         |       -269.189   |       -276.448   |        7.25927   |      0.1759787   |   0.0002679565   |      0.1089889   |   00:00:27   |   00:13:23   |
660         |       -264.442   |       -273.715   |        9.27296   |      0.1164682   |   9.481968e-05   |     0.08233582   |   00:00:27   |   00:13:11   |
670         |       -266.597   |       -273.508   |        6.91083   |      0.1921752   |   0.0009580219   |     0.08439476   |   00:00:27   |   00:12:58   |
680         |       -270.517   |       -275.926   |        5.40935   |      0.1139076   |    0.002066682   |       0.110852   |   00:00:28   |   00:13:15   |
690         |       -269.411   |       -274.412   |        5.00113   |     0.08427267   |    0.007723159   |     0.08279817   |   00:00:28   |   00:13:03   |
700         |       -269.835   |       -274.257   |        4.42184   |     0.05320026   |     0.01553516   |     0.08879194   |   00:00:29   |   00:13:19   |
700         |       -269.835   |       -274.257   |        4.42184   |     0.05320026   |     0.01553516   |     0.08879194   |   00:00:29   |   00:13:19   |
710         |       -269.566   |       -274.545   |        4.97893   |      0.1681042   |    0.004315513   |       0.105579   |   00:00:29   |   00:13:07   |
720         |       -267.271   |       -274.528   |        7.25765   |      0.1574935   |    0.000301587   |     0.06763274   |   00:00:29   |   00:12:56   |
730         |       -264.089   |       -273.094   |         9.0049   |      0.1939658   |   0.0001126621   |     0.09796004   |   00:00:30   |   00:13:11   |
740         |        -263.92   |       -273.337   |        9.41671   |      0.1397721   |   6.300968e-05   |     0.09529656   |   00:00:30   |   00:13:00   |
750         |       -264.484   |       -274.447   |        9.96315   |      0.1894862   |   2.496722e-05   |     0.09781899   |   00:00:30   |   00:12:50   |
760         |       -262.598   |       -273.795   |        11.1973   |     0.04391293   |   6.983439e-06   |     0.09529556   |   00:00:31   |   00:13:04   |
770         |       -262.731   |       -275.495   |        12.7634   |     0.02833958   |   1.333655e-06   |      0.1412526   |   00:00:31   |   00:12:54   |
780         |       -261.378   |         -274.1   |        12.7221   |     0.07432049   |   1.790605e-06   |     0.05457541   |   00:00:32   |   00:13:08   |
790         |       -256.375   |       -269.665   |        13.2894   |      0.2022818   |   1.223895e-06   |      0.1066085   |   00:00:32   |   00:12:58   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
800         |       -257.359   |       -270.643   |        13.2845   |      0.1750516   |   1.358749e-06   |      0.1022868   |   00:00:32   |   00:12:48   |
800         |       -257.359   |       -270.643   |        13.2845   |      0.1750516   |   1.358749e-06   |      0.1022868   |   00:00:32   |   00:12:48   |
810         |       -256.238   |         -269.4   |        13.1621   |      0.1827241   |   1.798124e-06   |       0.115303   |   00:00:33   |   00:13:01   |
820         |       -255.876   |       -269.528   |        13.6521   |      0.1791423   |   1.268783e-06   |     0.09195709   |   00:00:33   |   00:12:51   |
830         |       -256.786   |        -269.71   |        12.9246   |      0.2027722   |   1.903994e-06   |      0.1299557   |   00:00:34   |   00:13:05   |
840         |       -259.107   |       -272.342   |         13.235   |      0.1360324   |   1.899034e-06   |      0.1158603   |   00:00:34   |   00:12:55   |
850         |       -259.369   |       -273.319   |        13.9499   |     0.09142394   |   1.317632e-06   |     0.08505089   |   00:00:34   |   00:12:45   |
860         |        -257.28   |       -270.343   |        13.0628   |      0.1911897   |   2.291309e-06   |      0.1173816   |   00:00:35   |   00:12:58   |
870         |       -255.227   |       -269.211   |        13.9837   |      0.2001651   |   1.206166e-06   |     0.07914916   |   00:00:35   |   00:12:49   |
880         |       -258.356   |       -271.558   |        13.2018   |      0.2001651   |   2.807401e-06   |     0.07420722   |   00:00:35   |   00:12:40   |
890         |       -259.703   |       -271.799   |        12.0964   |      0.1849473   |   4.568323e-06   |      0.1077338   |   00:00:36   |   00:12:52   |
900         |       -256.077   |       -269.235   |        13.1588   |      0.1814582   |   1.986906e-06   |      0.1085153   |   00:00:36   |   00:12:44   |
900         |       -256.077   |       -269.235   |        13.1588   |      0.1814582   |   1.986906e-06   |      0.1085153   |   00:00:36   |   00:12:44   |
910         |       -255.385   |       -268.382   |        12.9973   |      0.1989787   |   2.340933e-06   |      0.1119886   |   00:00:37   |   00:12:56   |
920         |       -262.597   |       -275.109   |        12.5119   |     0.06536349   |   3.234979e-06   |      0.1406497   |   00:00:37   |   00:12:47   |
930         |       -256.383   |        -269.89   |         13.507   |      0.1546184   |   1.343492e-06   |      0.1077289   |   00:00:37   |   00:12:38   |
940         |       -254.829   |       -268.319   |        13.4895   |      0.2026687   |    1.12025e-06   |       0.130885   |   00:00:38   |   00:12:50   |
950         |       -256.157   |       -269.147   |        12.9896   |      0.2026687   |   1.794018e-06   |      0.1321067   |   00:00:38   |   00:12:42   |
960         |       -254.856   |       -268.096   |        13.2398   |      0.1955303   |   1.575814e-06   |      0.1144781   |   00:00:39   |   00:12:53   |
970         |        -259.42   |       -272.292   |        12.8719   |      0.1750088   |   2.203678e-06   |      0.1053106   |   00:00:39   |   00:12:45   |
980         |       -254.063   |       -267.679   |        13.6157   |      0.1988566   |   1.142579e-06   |      0.1230799   |   00:00:39   |   00:12:36   |
990         |       -255.346   |       -269.061   |        13.7146   |      0.1670186   |   1.038242e-06   |      0.1198042   |   00:00:40   |   00:12:48   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1000        |       -256.316   |       -270.009   |        13.6923   |      0.1905684   |   1.115606e-06   |     0.09904213   |   00:00:40   |   00:12:40   |
1000        |       -256.316   |       -270.009   |        13.6923   |      0.1905684   |   1.115606e-06   |     0.09904213   |   00:00:40   |   00:12:40   |
1010        |       -256.067   |       -269.389   |         13.322   |      0.1867118   |   1.304027e-06   |      0.1303631   |   00:00:41   |   00:12:50   |
1020        |       -256.844   |       -269.332   |        12.4884   |      0.1922382   |    3.16413e-06   |      0.1073259   |   00:00:41   |   00:12:42   |
1030        |       -257.561   |       -270.996   |        13.4352   |      0.1866194   |   1.574949e-06   |      0.1084647   |   00:00:41   |   00:12:35   |
1040        |       -256.098   |        -269.68   |        13.5825   |      0.1847653   |   1.075935e-06   |      0.1386401   |   00:00:42   |   00:12:45   |
1050        |       -257.482   |       -270.875   |        13.3931   |      0.1602656   |   1.372017e-06   |      0.1340041   |   00:00:42   |   00:12:38   |
1060        |         -253.7   |         -267.4   |        13.7002   |      0.2022947   |   1.025275e-06   |      0.1188588   |   00:00:43   |   00:12:48   |
1070        |       -255.606   |       -269.114   |        13.5078   |      0.2039187   |   1.176326e-06   |      0.1085412   |   00:00:43   |   00:12:40   |
1080        |       -257.886   |       -271.091   |         13.205   |      0.1933249   |   2.217911e-06   |     0.07962849   |   00:00:43   |   00:12:33   |
1090        |       -256.544   |        -269.55   |        13.0058   |      0.1793876   |   2.310601e-06   |      0.1058089   |   00:00:44   |   00:12:43   |
1100        |       -256.431   |       -269.455   |         13.024   |      0.2024532   |   1.768679e-06   |      0.1412401   |   00:00:44   |   00:12:36   |
1100        |       -256.431   |       -269.455   |         13.024   |      0.2024532   |   1.768679e-06   |      0.1412401   |   00:00:44   |   00:12:36   |
1110        |       -260.258   |        -271.82   |        11.5618   |      0.1914413   |   6.682118e-06   |      0.1077607   |   00:00:45   |   00:12:45   |
1120        |       -255.176   |       -268.408   |        13.2315   |      0.2036241   |   1.853872e-06   |      0.1096539   |   00:00:45   |   00:12:38   |
1130        |       -255.031   |       -268.273   |        13.2423   |      0.2035564   |   1.633275e-06   |      0.1231976   |   00:00:45   |   00:12:31   |
1140        |       -253.779   |       -267.443   |         13.664   |      0.2017694   |   1.104752e-06   |      0.1205159   |   00:00:46   |   00:12:41   |
1150        |       -255.713   |       -269.145   |        13.4322   |      0.1851038   |   1.398914e-06   |      0.1268337   |   00:00:46   |   00:12:34   |
1160        |       -255.181   |       -268.789   |         13.608   |      0.1859835   |   1.110636e-06   |      0.1394915   |   00:00:46   |   00:12:27   |
