/ufrc/burleigh/nhans/GitHubNH/revBB
c31b-s1.ufhpc
Fri May 31 14:43:21 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1190        |       -259.842   |       -272.686   |        12.8435   |      0.1966295   |   1.075687e-06   |     0.05787758   |   00:00:43   |   00:11:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1200        |       -257.245   |       -269.969   |        12.7242   |       0.180045   |   2.219594e-06   |      0.1127596   |   00:00:44   |   00:11:29   |
1200        |       -257.245   |       -269.969   |        12.7242   |       0.180045   |   2.219594e-06   |      0.1127596   |   00:00:44   |   00:11:29   |
1210        |       -254.077   |       -267.681   |        13.6042   |      0.2014071   |   1.140189e-06   |      0.1130951   |   00:00:44   |   00:11:23   |
1220        |       -258.858   |       -271.213   |        12.3546   |      0.2000966   |   3.395294e-06   |     0.08250129   |   00:00:44   |   00:11:17   |
1230        |       -260.421   |       -273.464   |        13.0431   |     0.07503799   |   2.433025e-06   |     0.09415119   |   00:00:45   |   00:11:26   |
1240        |       -258.513   |       -272.524   |        14.0107   |      0.0635678   |   1.077087e-06   |     0.09771341   |   00:00:45   |   00:11:20   |
1250        |       -260.213   |       -273.027   |        12.8135   |      0.1087513   |   3.370347e-06   |      0.1020482   |   00:00:45   |   00:11:15   |
1260        |       -255.599   |       -268.631   |        13.0317   |      0.2000799   |   1.962979e-06   |      0.1292838   |   00:00:46   |   00:11:24   |
1270        |       -254.797   |       -268.258   |        13.4605   |      0.1863706   |   1.463835e-06   |      0.1062529   |   00:00:46   |   00:11:18   |
1280        |       -255.149   |       -268.376   |        13.2269   |      0.1978212   |   1.444987e-06   |       0.105018   |   00:00:46   |   00:11:12   |
1290        |       -256.597   |       -269.838   |        13.2408   |      0.1700307   |    1.65996e-06   |      0.1143661   |   00:00:47   |   00:11:21   |
1300        |       -257.123   |       -270.855   |        13.7328   |      0.1434564   |   1.163818e-06   |      0.1060764   |   00:00:47   |   00:11:16   |
1300        |       -257.123   |       -270.855   |        13.7328   |      0.1434564   |   1.163818e-06   |      0.1060764   |   00:00:47   |   00:11:16   |
1310        |       -258.862   |       -272.409   |        13.5464   |      0.1450311   |   1.440298e-06   |      0.1017097   |   00:00:47   |   00:11:10   |
1320        |       -260.017   |       -273.952   |        13.9349   |     0.07996186   |   1.155376e-06   |     0.08311257   |   00:00:48   |   00:11:19   |
